Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Land transport and transport via pipelines,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Warehousing and support activities for transportation,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of electric lighting equipment,ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of furniture,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Mining of coal and lignite,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Mining of metal ores,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of basic metals,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of electrical equipment,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Land transport and transport via pipelines,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,Warehousing and support activities for transportation,ISIC Division
Manufacturing,Manufacture of electrical equipment,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",ISIC Group,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Activities auxiliary to financial service and insurance activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Real estate activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of furniture,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Mining of coal and lignite,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Mining of metal ores,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of basic metals,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of rubber and plastics products,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
